2022-07-17 11:13:42,096 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Jul 17 11:13:42 UTC 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2022-07-17 11:13:45,110 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:45,534 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2022-07-17 11:13:45,737 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-07-17 11:13:45,989 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:activemq-41257-1658056425812-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:46,057 | INFO  | Listening for connections at: tcp://activemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-07-17 11:13:46,063 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2022-07-17 11:13:46,089 | INFO  | Listening for connections at: amqp://activemq:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-07-17 11:13:46,090 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2022-07-17 11:13:46,099 | INFO  | Listening for connections at: stomp://activemq:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-07-17 11:13:46,103 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2022-07-17 11:13:46,118 | INFO  | Listening for connections at: mqtt://activemq:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-07-17 11:13:46,122 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2022-07-17 11:13:46,657 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2022-07-17 11:13:46,779 | INFO  | Listening for connections at ws://activemq:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2022-07-17 11:13:46,786 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2022-07-17 11:13:46,788 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:activemq-41257-1658056425812-0:1) started | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:46,791 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:46,793 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 50421 mb of usable space. - resetting to maximum available disk space: 50421 mb | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:46,794 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 50421 mb of usable space. - resetting to maximum available disk space: 50421 mb | org.apache.activemq.broker.BrokerService | main
2022-07-17 11:13:48,345 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2022-07-17 11:13:49,026 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2022-07-17 11:13:49,027 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2022-07-17 11:13:49,154 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2022-07-17 11:13:49,821 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2022-07-17 11:13:49,921 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2022-07-17 11:14:22,470 | WARN  | Transport Connection to: tcp://172.18.0.1:64856 failed: java.io.IOException: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///172.18.0.1:64856@61616
2022-07-17 11:14:23,486 | WARN  | Transport Connection to: tcp://172.18.0.1:64854 failed: java.io.IOException: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///172.18.0.1:64854@61616
2022-07-17 11:14:53,480 | WARN  | Transport Connection to: tcp://172.18.0.1:64860 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.18.0.1:64860 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
